"Financial Year","Name","ABN","ACN","Address Line 1","Address Line 2","Suburb","State","Postcode","Lodged on behalf of","Total Receipts","Total Payments","Total Debts","Total Discretionary Benefits","Electoral Expenditure"
"2019-20","Advance Australia","55628503702","","PO Box 278","","CANBERRA","ACT","2601","","1301243","1457208","44865","0","1502073"
"2019-20","AEU NSW Teachers Federation","86600150697","","Locked Bag 3010","","DARLINGHURST","NSW","1300","","44641058","35029167","1045389","50000","3104"
"2019-20","ANIMALS AUSTRALIA FEDERATION","65 016 845 767","","1 Burke Street","","MONTMORENCY","VIC","3094","","20736308","13384123","0","0","0"
"2019-20","Australian Automobile Association","25008526369","008526369","GPO Box 1555","","CANBERRA","ACT","2601","","9828156","7688508","238128","2200000","0"
"2019-20","Australian Chamber of Commerce and Industry","85 008 391 795","008 391 795","PO Box 6005","","KINGSTON","ACT","2604","","7716008","6877728","732142","924486","52084"
"2019-20","Australian Council of Trade Unions","67175982800","","Level 4","365 Queen Street","MELBOURNE","VIC","3000","","18756121","18135635","1429562","47190","1525845"
"2019-20","Australian Education Union ","16006296647","","120 Clarendon Street","","SOUTHBANK","VIC","3006","AEU NSW Teachers Federation; Australian Education Union Western Australian Branch; Australian Education Union Victorian Branch; Australian Education Union Tasmanian Branch; Australian Education Union South Australian Branch; Australian Education Union Queensland Branch; Australian Education Union Northern Territory Branch; Australian Education Union ACT Branch","94189852","81122775","11204482","89994","182294"
"2019-20","Australian Education Union Victorian Branch","44 673 398 674","","PO Box 363","","ABBOTSFORD","VIC","3067","","0","0","0","0","0"
"2019-20","Australian Municipal Administrative Clerical and Services Union ","28519971998","","Ground Floor 116 Queensberry Street","","CARLTON SOUTH","VIC","3053","","4512626","4032746","0","0","0"
"2019-20","Australian Nursing & Midwifery Federation","41816898298","","Level 1, 365 Queen Street","","MELBOURNE","VIC","3000","ANMF ACT Branch; ANMF NSW Branch; ANMF NT Branch; ANMF QNMU Branch; ANMF SA Branch; ANMF Tasmanian Branch; ANMF Victorian Branch; ANMF WA Branch","95682225","85251776","4707155","639534","399684"
"2019-20","Business Council of Australia","75 008 483 216","008 483 216","Level 42, 120 Collins Street","","MELBOURNE","VIC","3000","","13513451","14673604","12643","55000","0"
"2019-20","Construction, Forestry, Maritime, Mining and Energy Union","17402743835","","Level 2, ","165 Bouverie St","CARLTON","VIC","3053","CFMMEU - Mining and Energy Division, Northern Mining & NSW Energy District Branch; CFMMEU - Mining & Energy Division, Western Australian District Branch; CFMMEU - Mining & Energy Division, Victorian District Branch; CFMMEU - Mining & Energy Division, Tasmanian District Branch; CFMMEU - Mining & Energy Division, Qld District Branch; CFMMEU - Mining & Energy Division South Western District Branch; CFMMEU - Mining & Energy Division - National Office; CFMMEU - Maritime Union of Australia Division; CFMMEU - Manufacturing Division; CFMMEU - Construction & General Division, WA Divisional Branch; CFMMEU - Construction & General Division, VIC/TAS Divisional Branch; CFMMEU - Construction & General Division, South Australian Divisional Branch; CFMMEU - Construction & General Division, Queensland Northern Territory Divisional Branch; CFMMEU - Construction & General Division, New South Wales Divisional Branch; CFMMEU - Construction & General Division, National Office; CFMMEU - Construction & General Division, ACT Divisional Branch","201423428","199309419","13596354","0","78393"
"2019-20","Dick Smith","16015899381","","PO Box 418","","TERREY HILLS","NSW","2084","","5437","117535","0","0","117535"
"2019-20","GetUp Limited","99114027986","114 027 986","Level 1, 64-76 Kippax Street","","SURRY HILLS","NSW","2010","","10869886","10006889","4792","0","114570"
"2019-20","KP Independents Limited","13 625 730 958","625 730 958","Level 6, 9 Barrack Street","","SYDNEY","NSW","2000","","0","0","0","0","0"
"2019-20","LET Australia Ltd","90123147240","123 147 240","PO Box 10944","","BRISBANE","QLD","4000","","25879013","22096864","125268","0","0"
"2019-20","Minerals Council of Australia","21 191 309 229","008 455 141","PO Box 4497","","KINGSTON","ACT","2604","","26423421","21658530","1134406","3594989","0"
"2019-20","New South Wales Nurses and Midwives' Association","63 398 164 405","","50 O'Dea Avenue","","WATERLOO","NSW","2017","","51827788","48929263","599321","111563","0"
"2019-20","Peninsula Independent Limited ","25 631 168 968","631 168 968","Suite 4.02, Level 4, 249 Pitt Street","","SYDNEY","NSW","2000","","0","0","0","0","0"
"2019-20","The Minderoo Foundation Pty Ltd atf The Minderoo Foundation Trust","","","PO Box 3155","","BROADWAY NEDLANDS","WA","6009","","822280412","392126592","16885480","217618067","0"
"2019-20","United Workers Union","52728088684","","Locked Bag 9","","HAYMARKET","NSW","1240","United Workers Union ACT Branch ; United Workers Union VIC Branch; United Workers Union WA Branch; United Workers Union Tasmanian Branch ; United Workers Union South Australia Branch; United Workers Union QLD Branch; United Workers Union NT Branch; United Workers Union NSW Branch","85050751","99131706","2975484","0","0"
"2019-20","Universities Australia","53 008 502 930","008 502 930","GPO Box 1142","","DEAKIN","ACT","2601","Higher Ed Services Pty Ltd; Australian Higher Education Associations Pty Ltd","14230338","10825166","431012","2288000","0"
"2019-20","Warringah Independent Limited","85 630 440 514","630 440 514","Po Box 168","","ROUND CORNER","NSW","2158","","626129","445549","1870","0","1650"
"2018-19","Advance Australia","55628503702","","PO Box 278","","CANBERRA","ACT","2601","","2432077","1971812","62318","0","1995453"
"2018-19","AEU NSW Teachers Federation","86600150697","","Locked Bag 3010","","DARLINGHURST","NSW","1300","","44158939","35996117","1177047","0","309258"
"2018-19","ANIMALS AUSTRALIA FEDERATION","65 016 845 767","","1 Burke Street","","MONTMORENCY","VIC","3094","","13922917","8280482","227708","0","515879"
"2018-19","Australian Automobile Association","25008526369","008526369","GPO Box 1555","","CANBERRA","ACT","2601","","11521848","10896727","255347","4400000","695836"
"2018-19","Australian Chamber of Commerce and Industry","85 008 391 795","008 391 795","PO Box 6005","","KINGSTON","ACT","2604","","7233467","7053749","503397","71006","614491"
"2018-19","Australian Council of Trade Unions","67175982800","","Level 4","365 Queen Street","MELBOURNE","VIC","3000","","24582154","30368325","3742665","121390","21241307"
"2018-19","Australian Education Union ","16006296647","","120 Clarendon Street","","SOUTHBANK","VIC","3006","","115515255","92186753","12471486","0","5390071"
"2018-19","Australian Education Union Victorian Branch","44 673 398 674","","PO Box 363","","ABBOTSFORD","VIC","3067","","52635501","26411161","10752692","0","15902"
"2018-19","Australian Municipal Administrative Clerical and Services Union ","28519971998","","Ground Floor 116 Queensberry Street","","CARLTON SOUTH","VIC","3053","","4730233","4390336","0","0","500000"
"2018-19","Australian Nursing & Midwifery Federation","41816898298","","Level 1, 365 Queen Street","","MELBOURNE","VIC","3000","","77659475","82705209","2784648","818249","1675209"
"2018-19","Business Council of Australia","75 008 483 216","008 483 216","Level 42, 120 Collins Street","","MELBOURNE","VIC","3000","","13084264","13790811","228476","130000","245564"
"2018-19","Construction, Forestry, Maritime, Mining and Energy Union","17402743835","","Level 2, ","165 Bouverie St","CARLTON","VIC","3053","","181287818","187704316","21233487","0","1117724"
"2018-19","Dick Smith","16015899381","","PO Box 418","","TERREY HILLS","NSW","2084","","11161","128889","0","0","128889"
"2018-19","GetUp Limited","99114027986","114 027 986","Level 1, 64-76 Kippax Street","","SURRY HILLS","NSW","2010","","13748803","14446914","126112","0","3125795"
